datetime_utc,bz_gsm_nt,flow_speed_kms,sym_h_nt
2003-11-18 00:00:00,-4.32,742.9,-34.0
2003-11-18 00:05:00,-4.72,748.0,-38.0
2003-11-18 00:10:00,-5.02,743.9,-36.0
2003-11-18 00:15:00,-4.69,745.7,-35.0
2003-11-18 00:20:00,-4.77,741.4,-32.0
2003-11-18 00:25:00,-5.2,740.5,-31.0
2003-11-18 00:30:00,-4.65,,-30.0
2003-11-18 00:35:00,-3.33,724.6,-29.0
2003-11-18 00:40:00,-2.48,727.7,-28.0
2003-11-18 00:45:00,-3.12,718.6,-28.0
2003-11-18 00:50:00,-4.11,732.4,-26.0
2003-11-18 00:55:00,-1.56,713.5,-25.0
2003-11-18 01:00:00,1.27,718.9,-27.0
2003-11-18 01:05:00,2.07,728.1,-28.0
2003-11-18 01:10:00,2.07,738.2,-29.0
2003-11-18 01:15:00,-3.28,729.1,-30.0
2003-11-18 01:20:00,-2.57,730.5,-31.0
2003-11-18 01:25:00,-4.68,743.7,-29.0
2003-11-18 01:30:00,-3.97,744.8,-31.0
2003-11-18 01:35:00,-4.66,747.0,-31.0
2003-11-18 01:40:00,-3.92,733.5,-30.0
2003-11-18 01:45:00,-2.38,728.6,-27.0
2003-11-18 01:50:00,-3.07,723.4,-25.0
2003-11-18 01:55:00,-1.63,725.7,-25.0
2003-11-18 02:00:00,0.12,725.9,-26.0
2003-11-18 02:05:00,-1.25,728.3,-26.0
2003-11-18 02:10:00,-2.71,738.5,-25.0
2003-11-18 02:15:00,-1.46,721.2,-26.0
2003-11-18 02:20:00,-0.96,720.5,-26.0
2003-11-18 02:25:00,-0.95,709.1,-25.0
2003-11-18 02:30:00,2.23,721.0,-26.0
2003-11-18 02:35:00,2.9,733.7,-27.0
2003-11-18 02:40:00,1.53,724.0,-26.0
2003-11-18 02:45:00,2.9,728.1,-27.0
2003-11-18 02:50:00,0.75,726.2,-26.0
2003-11-18 02:55:00,-0.44,715.8,-26.0
2003-11-18 03:00:00,0.81,713.8,-26.0
2003-11-18 03:05:00,-2.08,732.7,-26.0
2003-11-18 03:10:00,-2.78,750.8,-25.0
2003-11-18 03:15:00,-1.65,739.4,-24.0
2003-11-18 03:20:00,-1.16,716.8,-23.0
2003-11-18 03:25:00,-0.37,715.4,-22.0
2003-11-18 03:30:00,-0.94,726.1,-22.0
2003-11-18 03:35:00,-2.38,731.7,-22.0
2003-11-18 03:40:00,0.94,717.4,-24.0
2003-11-18 03:45:00,0.71,706.7,-25.0
2003-11-18 03:50:00,0.22,706.5,-25.0
2003-11-18 03:55:00,-0.29,705.0,-25.0
2003-11-18 04:00:00,0.47,717.0,-22.0
2003-11-18 04:05:00,1.66,702.9,-23.0
2003-11-18 04:10:00,0.58,702.4,-24.0
2003-11-18 04:15:00,0.44,701.5,-25.0
2003-11-18 04:20:00,2.12,706.4,-25.0
2003-11-18 04:25:00,0.17,703.7,-22.0
2003-11-18 04:30:00,0.35,707.1,-21.0
2003-11-18 04:35:00,-0.87,706.1,-21.0
2003-11-18 04:40:00,0.78,703.6,-23.0
2003-11-18 04:45:00,2.61,707.5,-23.0
2003-11-18 04:50:00,0.62,710.3,-22.0
2003-11-18 04:55:00,-3.07,709.3,-22.0
2003-11-18 05:00:00,-1.86,713.6,-20.0
2003-11-18 05:05:00,-2.74,712.8,-21.0
2003-11-18 05:10:00,-2.31,705.5,-21.0
2003-11-18 05:15:00,-0.92,708.6,-20.0
2003-11-18 05:20:00,-0.63,707.6,-22.0
2003-11-18 05:25:00,-0.78,706.3,-20.0
2003-11-18 05:30:00,-0.35,701.4,-18.0
2003-11-18 05:35:00,-0.4,696.6,-19.0
2003-11-18 05:40:00,0.73,697.7,-19.0
2003-11-18 05:45:00,1.05,703.1,-20.0
2003-11-18 05:50:00,0.31,700.2,-21.0
2003-11-18 05:55:00,0.1,702.5,-22.0
2003-11-18 06:00:00,-1.19,702.5,-22.0
2003-11-18 06:05:00,1.2,704.6,-22.0
2003-11-18 06:10:00,0.75,715.9,-24.0
2003-11-18 06:15:00,1.26,724.7,-22.0
2003-11-18 06:20:00,-0.15,750.9,-23.0
2003-11-18 06:25:00,-0.74,749.6,-21.0
2003-11-18 06:30:00,1.17,724.5,-20.0
2003-11-18 06:35:00,-0.39,722.1,-20.0
2003-11-18 06:40:00,0.46,724.9,-20.0
2003-11-18 06:45:00,-0.28,738.3,-20.0
2003-11-18 06:50:00,0.8,712.3,-21.0
2003-11-18 06:55:00,0.34,705.1,-21.0
2003-11-18 07:00:00,2.98,714.9,-22.0
2003-11-18 07:05:00,-0.47,710.3,-22.0
2003-11-18 07:10:00,-2.12,699.0,-20.0
