datetime_utc,bz_gsm_nt,flow_speed_kms,sym_h_nt
2017-05-26 00:00:00,1.46,331.4,-8
2017-05-26 00:05:00,1.32,332.2,-8
2017-05-26 00:10:00,1.43,331.1,-8
2017-05-26 00:15:00,1.03,332.0,-8
2017-05-26 00:20:00,0.23,331.9,-7
2017-05-26 00:25:00,-0.17,332.7,-7
2017-05-26 00:30:00,-0.53,332.8,-7
2017-05-26 00:35:00,-0.79,,-7
2017-05-26 00:40:00,-1.15,,-7
2017-05-26 00:45:00,-1.45,332.6,-7
2017-05-26 00:50:00,-0.40,329.9,-7
2017-05-26 00:55:00,0.26,327.2,-7
2017-05-26 01:00:00,0.38,325.2,-7
2017-05-26 01:05:00,0.35,326.7,-6
2017-05-26 01:10:00,0.50,326.2,-6
2017-05-26 01:15:00,1.22,332.6,-6
2017-05-26 01:20:00,1.47,336.1,-5
2017-05-26 01:25:00,1.53,335.3,-5
2017-05-26 01:30:00,1.55,,-5
2017-05-26 01:35:00,1.44,338.7,-5
2017-05-26 01:40:00,1.08,,-5
2017-05-26 01:45:00,1.30,335.6,-5
2017-05-26 01:50:00,1.42,335.5,-5
2017-05-26 01:55:00,1.49,336.9,-5
2017-05-26 02:00:00,1.61,337.0,-5
2017-05-26 02:05:00,1.49,336.4,-5
2017-05-26 02:10:00,1.57,335.5,-5
2017-05-26 02:15:00,1.39,329.7,-4
2017-05-26 02:20:00,1.30,332.2,-4
2017-05-26 02:25:00,1.52,324.6,-4
2017-05-26 02:30:00,1.68,324.4,-4
2017-05-26 02:35:00,1.71,324.6,-3
2017-05-26 02:40:00,1.58,327.8,-3
2017-05-26 02:45:00,1.41,327.5,-3
2017-05-26 02:50:00,1.26,324.0,-2
2017-05-26 02:55:00,1.36,325.1,-2
2017-05-26 03:00:00,1.31,319.3,-2
2017-05-26 03:05:00,1.25,318.8,-2
2017-05-26 03:10:00,0.97,321.1,-2
2017-05-26 03:15:00,0.78,320.9,-2
2017-05-26 03:20:00,0.85,319.6,-2
2017-05-26 03:25:00,0.68,319.3,-2
2017-05-26 03:30:00,0.71,320.2,-2
2017-05-26 03:35:00,0.31,323.1,-2
2017-05-26 03:40:00,-0.61,336.8,-1
2017-05-26 03:45:00,-0.56,336.8,0
2017-05-26 03:50:00,-0.84,344.7,0
2017-05-26 03:55:00,-0.17,339.4,0
2017-05-26 04:00:00,0.08,331.8,1
2017-05-26 04:05:00,1.12,325.9,0
2017-05-26 04:10:00,0.41,324.7,0
2017-05-26 04:15:00,-1.55,341.6,0
2017-05-26 04:20:00,-1.32,344.7,0
2017-05-26 04:25:00,-0.44,335.2,0
2017-05-26 04:30:00,0.24,328.0,0
2017-05-26 04:35:00,0.76,325.9,0
2017-05-26 04:40:00,0.63,327.4,0
2017-05-26 04:45:00,-0.36,337.8,-1
2017-05-26 04:50:00,-0.47,351.2,-1
2017-05-26 04:55:00,-0.72,351.9,0
2017-05-26 05:00:00,-0.38,351.3,1
2017-05-26 05:05:00,-0.56,351.5,1
2017-05-26 05:10:00,-0.63,349.9,1
2017-05-26 05:15:00,-1.25,348.1,0
2017-05-26 05:20:00,-0.49,340.3,0
2017-05-26 05:25:00,0.23,341.0,0
2017-05-26 05:30:00,0.26,341.9,-1
2017-05-26 05:35:00,0.47,344.0,0
2017-05-26 05:40:00,1.19,339.9,-1
2017-05-26 05:45:00,1.41,337.3,-1
2017-05-26 05:50:00,1.38,331.8,-2
2017-05-26 05:55:00,0.87,334.9,-3
2017-05-26 06:00:00,0.85,340.9,-2
2017-05-26 06:05:00,0.92,338.5,-2
2017-05-26 06:10:00,1.13,342.3,-2
2017-05-26 06:15:00,1.19,343.0,-3
2017-05-26 06:20:00,1.59,343.1,-2
2017-05-26 06:25:00,0.60,,-1
2017-05-26 06:30:00,0.33,332.5,-1
2017-05-26 06:35:00,-0.28,347.5,0
