datetime_utc,bz_gsm_nt,flow_speed_kms,sym_h_nt
2012-07-13 00:00:00,0.9,397.5,-7.0
2012-07-13 00:05:00,1.34,394.9,-7.0
2012-07-13 00:10:00,1.26,394.3,-8.0
2012-07-13 00:15:00,1.22,395.2,-8.0
2012-07-13 00:20:00,1.06,394.9,-8.0
2012-07-13 00:25:00,1.26,396.1,-7.0
2012-07-13 00:30:00,0.85,395.3,-7.0
2012-07-13 00:35:00,0.5,396.3,-7.0
2012-07-13 00:40:00,0.47,396.3,-8.0
2012-07-13 00:45:00,0.79,395.8,-7.0
2012-07-13 00:50:00,0.45,394.5,-7.0
2012-07-13 00:55:00,-0.35,391.3,-7.0
2012-07-13 01:00:00,0.46,390.5,-7.0
2012-07-13 01:05:00,1.03,394.7,-7.0
2012-07-13 01:10:00,0.98,395.6,-8.0
2012-07-13 01:15:00,1.21,395.8,-7.0
2012-07-13 01:20:00,1.18,397.1,-7.0
2012-07-13 01:25:00,1.04,395.1,-7.0
2012-07-13 01:30:00,0.41,394.9,-7.0
2012-07-13 01:35:00,0.99,394.1,-6.0
2012-07-13 01:40:00,1.17,394.5,-7.0
2012-07-13 01:45:00,1.23,,-7.0
2012-07-13 01:50:00,1.56,392.8,-6.0
2012-07-13 01:55:00,1.17,395.7,-7.0
2012-07-13 02:00:00,1.24,394.5,-7.0
2012-07-13 02:05:00,1.35,394.7,-8.0
2012-07-13 02:10:00,1.73,396.1,-8.0
2012-07-13 02:15:00,1.54,395.5,-7.0
2012-07-13 02:20:00,1.39,393.3,-8.0
2012-07-13 02:25:00,1.33,391.1,-7.0
2012-07-13 02:30:00,1.09,387.5,-7.0
2012-07-13 02:35:00,1.08,387.9,-7.0
2012-07-13 02:40:00,1.03,389.3,-7.0
2012-07-13 02:45:00,1.1,387.4,-7.0
2012-07-13 02:50:00,0.99,385.9,-8.0
2012-07-13 02:55:00,0.93,383.8,-8.0
2012-07-13 03:00:00,0.85,385.6,-7.0
2012-07-13 03:05:00,0.81,386.7,-7.0
2012-07-13 03:10:00,0.95,388.1,-8.0
2012-07-13 03:15:00,1.19,389.1,-7.0
2012-07-13 03:20:00,1.08,389.5,-7.0
2012-07-13 03:25:00,1.54,386.9,-7.0
2012-07-13 03:30:00,1.64,387.7,-7.0
2012-07-13 03:35:00,1.09,386.2,-7.0
2012-07-13 03:40:00,1.46,385.2,-7.0
