datetime_utc,bz_gsm_nt,flow_speed_kms,sym_h_nt
2004-11-07 00:00:00,-0.92,322.2,14
2004-11-07 00:05:00,-0.92,,13
2004-11-07 00:10:00,-0.70,322.9,13
2004-11-07 00:15:00,-1.62,,13
2004-11-07 00:20:00,-1.68,324.3,12
2004-11-07 00:25:00,-2.10,324.9,13
2004-11-07 00:30:00,-2.11,324.5,13
2004-11-07 00:35:00,-2.39,324.5,13
2004-11-07 00:40:00,-2.75,323.4,12
2004-11-07 00:45:00,-2.72,323.9,11
2004-11-07 00:50:00,-2.75,323.9,11
2004-11-07 00:55:00,-2.83,323.8,11
2004-11-07 01:00:00,-2.90,324.7,11
2004-11-07 01:05:00,-1.24,319.5,10
2004-11-07 01:10:00,-1.10,322.4,10
2004-11-07 01:15:00,1.17,317.9,10
2004-11-07 01:20:00,2.87,312.9,10
2004-11-07 01:25:00,2.80,311.9,9
2004-11-07 01:30:00,2.53,311.9,9
2004-11-07 01:35:00,2.12,312.0,9
2004-11-07 01:40:00,2.37,311.1,8
2004-11-07 01:45:00,2.52,311.3,8
2004-11-07 01:50:00,2.43,310.0,8
2004-11-07 01:55:00,2.57,314.0,8
2004-11-07 02:00:00,2.23,313.2,8
2004-11-07 02:05:00,2.00,313.3,9
2004-11-07 02:10:00,2.46,314.9,9
2004-11-07 02:15:00,2.06,316.5,9
2004-11-07 02:20:00,1.65,309.6,10
2004-11-07 02:25:00,1.31,304.4,10
2004-11-07 02:30:00,1.11,308.0,10
2004-11-07 02:35:00,0.95,307.3,11
2004-11-07 02:40:00,2.19,311.5,11
2004-11-07 02:45:00,2.43,310.4,12
2004-11-07 02:50:00,1.50,310.8,12
2004-11-07 02:55:00,0.88,315.1,16
2004-11-07 03:00:00,-3.49,364.6,24
2004-11-07 03:05:00,-3.95,365.4,27
2004-11-07 03:10:00,-2.95,364.7,27
2004-11-07 03:15:00,-3.89,365.1,27
2004-11-07 03:20:00,-5.13,368.6,27
2004-11-07 03:25:00,-5.53,366.7,27
2004-11-07 03:30:00,-7.09,370.3,27
2004-11-07 03:35:00,-5.83,370.1,26
2004-11-07 03:40:00,-4.65,364.5,25
2004-11-07 03:45:00,-4.99,365.5,24
2004-11-07 03:50:00,-0.75,373.8,24
2004-11-07 03:55:00,-0.61,379.9,22
2004-11-07 04:00:00,1.22,372.0,21
2004-11-07 04:05:00,1.55,370.2,21
2004-11-07 04:10:00,1.00,366.2,21
2004-11-07 04:15:00,-0.07,366.2,20
2004-11-07 04:20:00,-0.30,363.7,20
2004-11-07 04:25:00,1.40,364.1,21
2004-11-07 04:30:00,4.20,364.2,20
2004-11-07 04:35:00,4.00,358.9,21
2004-11-07 04:40:00,5.17,359.0,22
2004-11-07 04:45:00,5.64,363.1,24
2004-11-07 04:50:00,4.70,364.9,25
2004-11-07 04:55:00,6.24,364.6,25
2004-11-07 05:00:00,3.67,363.3,24
2004-11-07 05:05:00,4.49,362.7,25
2004-11-07 05:10:00,5.04,359.8,24
2004-11-07 05:15:00,4.83,358.9,24
2004-11-07 05:20:00,4.60,359.3,24
2004-11-07 05:25:00,4.01,360.7,24
2004-11-07 05:30:00,1.72,358.6,24
2004-11-07 05:35:00,1.82,363.1,23
2004-11-07 05:40:00,3.60,363.7,23
2004-11-07 05:45:00,5.64,361.2,23
2004-11-07 05:50:00,5.72,358.7,22
2004-11-07 05:55:00,5.82,,22
2004-11-07 06:00:00,5.70,358.0,23
2004-11-07 06:05:00,5.60,357.1,24
2004-11-07 06:10:00,5.91,356.0,24
2004-11-07 06:15:00,5.89,356.3,24
