datetime_utc,bz_gsm_nt,flow_speed_kms,sym_h_nt
2023-04-22 00:00:00,-5.19,374.8,-27
2023-04-22 00:05:00,-5.21,365.5,-28
2023-04-22 00:10:00,-4.27,363.9,-30
2023-04-22 00:15:00,-4.57,351.9,-31
2023-04-22 00:20:00,-4.35,356.8,-31
2023-04-22 00:25:00,-4.21,344.2,-31
2023-04-22 00:30:00,-4.3,349.1,-31
2023-04-22 00:35:00,-3.2,339.8,-31
2023-04-22 00:40:00,-3.97,344.3,-32
2023-04-22 00:45:00,-4.24,346.2,-32
2023-04-22 00:50:00,-2.2,345.3,-32
2023-04-22 00:55:00,-2.1,347.1,-31
2023-04-22 01:00:00,-1.72,343.1,-31
2023-04-22 01:05:00,-2.09,359.0,-31
2023-04-22 01:10:00,-1.65,337.3,-31
2023-04-22 01:15:00,-2.08,359.6,-30
2023-04-22 01:20:00,-0.44,350.2,-29
2023-04-22 01:25:00,-1.61,351.6,-27
2023-04-22 01:30:00,-2.46,353.5,-26
2023-04-22 01:35:00,-2.89,356.3,-26
2023-04-22 01:40:00,-3.42,360.9,-25
2023-04-22 01:45:00,-4.21,364.2,-25
2023-04-22 01:50:00,-3.66,364.1,-24
2023-04-22 01:55:00,-3.23,361.3,-23
2023-04-22 02:00:00,-2.67,362.4,-23
2023-04-22 02:05:00,-2.56,362.3,-22
2023-04-22 02:10:00,-3.63,359.1,-22
2023-04-22 02:15:00,-2.78,358.9,-21
2023-04-22 02:20:00,-2.58,357.0,-21
2023-04-22 02:25:00,-0.43,357.2,-22
2023-04-22 02:30:00,-3.1,358.2,-22
2023-04-22 02:35:00,-4.48,362.2,-21
2023-04-22 02:40:00,-2.99,356.7,-21
2023-04-22 02:45:00,-0.95,353.8,-23
2023-04-22 02:50:00,-0.07,359.2,-23
2023-04-22 02:55:00,1.03,368.9,-24
2023-04-22 03:00:00,1.51,371.4,-24
2023-04-22 03:05:00,0.98,367.3,-23
2023-04-22 03:10:00,1.19,369.1,-23
2023-04-22 03:15:00,1.63,372.4,-23
2023-04-22 03:20:00,0.96,366.2,-22
2023-04-22 03:25:00,-1.85,364.8,-21
2023-04-22 03:30:00,-2.73,366.9,-20
2023-04-22 03:35:00,-2.75,363.3,-20
2023-04-22 03:40:00,-2.74,366.2,-19
2023-04-22 03:45:00,-2.1,365.1,-19
2023-04-22 03:50:00,-1.07,369.0,-18
2023-04-22 03:55:00,-0.83,367.6,-17
2023-04-22 04:00:00,-1.52,363.2,-17
2023-04-22 04:05:00,-3.1,363.1,-17
2023-04-22 04:10:00,-3.27,366.7,-18
2023-04-22 04:15:00,-3.7,363.9,-18
2023-04-22 04:20:00,-4.26,367.5,-18
2023-04-22 04:25:00,-3.07,362.5,-18
2023-04-22 04:30:00,-3.14,363.8,-19
2023-04-22 04:35:00,-2.66,361.5,-20
2023-04-22 04:40:00,-2.13,361.9,-19
2023-04-22 04:45:00,-0.88,356.0,-20
2023-04-22 04:50:00,0.02,365.6,-20
2023-04-22 04:55:00,0.69,366.2,-21
2023-04-22 05:00:00,-1.8,355.4,-20
2023-04-22 05:05:00,-2.94,362.6,-19
2023-04-22 05:10:00,-0.7,365.9,-19
2023-04-22 05:15:00,-2.11,369.8,-20
2023-04-22 05:20:00,-1.6,367.3,-21
2023-04-22 05:25:00,-1.08,371.3,-21
2023-04-22 05:30:00,0.05,362.4,-19
2023-04-22 05:35:00,0.75,370.4,-20
2023-04-22 05:40:00,-0.02,374.0,-20
2023-04-22 05:45:00,0.16,369.8,-20
2023-04-22 05:50:00,0.37,366.1,-20
2023-04-22 05:55:00,0.18,371.7,-19
2023-04-22 06:00:00,0.01,373.3,-19
2023-04-22 06:05:00,0.4,370.2,-19
2023-04-22 06:10:00,0.6,367.4,-18
2023-04-22 06:15:00,0.46,367.1,-18
2023-04-22 06:20:00,1.05,366.5,-17
2023-04-22 06:25:00,0.74,370.4,-16
2023-04-22 06:30:00,-0.33,374.6,-16
2023-04-22 06:35:00,-1.03,373.1,-15
2023-04-22 06:40:00,-0.36,373.7,-15
2023-04-22 06:45:00,-1.46,373.5,-14
2023-04-22 06:50:00,-1.23,379.9,-14
2023-04-22 06:55:00,-1.87,385.8,-13
2023-04-22 07:00:00,-2.6,389.6,-12
2023-04-22 07:05:00,-2.27,382.1,-12
2023-04-22 07:10:00,-2.64,388.2,-11
2023-04-22 07:15:00,1.38,390.5,-10
2023-04-22 07:20:00,3.04,362.2,-9
2023-04-22 07:25:00,1.04,357.9,-9
2023-04-22 07:30:00,0.76,355.3,-10
2023-04-22 07:35:00,1.22,357.2,-10
2023-04-22 07:40:00,0.63,354.7,-10
2023-04-22 07:45:00,0.18,357.4,-10
2023-04-22 07:50:00,-1.45,359.0,-10
2023-04-22 07:55:00,-1.99,360.7,-9
2023-04-22 08:00:00,-0.65,367.1,-8
2023-04-22 08:05:00,1.92,365.5,-7
2023-04-22 08:10:00,3.54,371.3,-8
2023-04-22 08:15:00,2.26,365.8,-9
